 Run 445203	 Raw lumi 3.22636	Cor lumi 3.11945	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445204	 Raw lumi 2.65597	Cor lumi 2.56796	 QEDC-corr stat-err 0.160128	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445205	 Raw lumi 2.06044	Cor lumi 1.14338	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445224	 Raw lumi 1.01891	Cor lumi 0.985146	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445236	 Raw lumi 1.54517	Cor lumi 0.399681	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445237	 Raw lumi 1.15258	Cor lumi 1.11439	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445238	 Raw lumi 6.66539	Cor lumi 6.44453	 QEDC-corr stat-err 0.113961	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445239	 Raw lumi 8.30643	Cor lumi 5.9759	 QEDC-corr stat-err 6.91999	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445241	 Raw lumi 5.24877	Cor lumi 1.41506	 QEDC-corr stat-err 0.127	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445242	 Raw lumi 31.4944	Cor lumi 27.3858	 QEDC-corr stat-err 0.048737	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445246	 Raw lumi 5.0801	Cor lumi 4.91177	 QEDC-corr stat-err 0.121268	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445249	 Raw lumi 1.32731	Cor lumi 1.28332	 QEDC-corr stat-err 0.25	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445250	 Raw lumi 5.67654	Cor lumi 5.48845	 QEDC-corr stat-err 0.109764	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445251	 Raw lumi 5.99116	Cor lumi 4.66974	 QEDC-corr stat-err 4.67377	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445252	 Raw lumi 3.44818	Cor lumi 3.33393	 QEDC-corr stat-err 0.149071	 Av pol 0	 Pol err 0	 Pol run fraction 0
